epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000
166,9.886343005834329,10.187093258625078,9.873084517406118,10.033846547406528,10.880182808895984,11.048151360404107,12.480378173471939,11.674505658447742
167,9.916984585053738,10.260656100487518,9.855979850756066,10.06468721935826,10.912159499111436,11.102425325061045,12.476211492603102,11.706326667579912
168,9.89883925555454,10.155814940169934,9.852497954852879,10.05594713252879,10.954023635525617,11.050858129296572,12.474249128342395,11.694126221681795
169,9.906600537379422,10.129576789275292,9.85611789304042,10.062817889716356,10.843405796725664,10.98553562957433,12.49656867190835,11.701437794873792
170,9.913382770103071,10.192113928496838,9.856469129332371,10.043400565102216,10.857807247028235,10.996241107462875,12.479399695181318,11.689850519741736
171,9.87821439236042,10.152378525104254,9.86843045064879,10.229493911948897,10.870035854168236,11.058807958878816,12.492176441986475,11.677178554236889
172,9.90841611694064,10.312059924246805,9.849763002186533,10.2049459312712,10.890682618464194,11.07131486998931,12.464197525273889,11.685673177482622
173,9.884078577611476,10.195926928351964,9.883838660654522,10.287120833151763,10.878728834101029,11.004178319126368,12.465874029834184,11.666029826888153
174,9.909761153281696,10.337709058676996,9.849259002705015,10.206847061072626,10.833877476773436,10.932551291320593,12.471984842822195,11.687770801325959
175,9.884266866250865,10.213248251426604,9.842316308359226,10.062971362663854,10.842253063474931,11.017636741481482,12.447870103642344,11.677157419222977
176,9.898405450756751,10.167491562183827,9.82731877405557,10.366367236260444,10.824141441844404,11.024366162957685,12.484262160386049,11.68103392926916
177,9.877355431296651,10.281295605724859,9.834675475083772,10.030731078117125,10.832551498747161,10.973710101097822,12.443648696306251,11.685910619675152
178,9.887747770746149,10.137216788866827,9.848016798646459,10.020495512552799,10.802567692383404,10.991476881768435,12.425092582200323,11.660531749047578
179,9.896110807124886,10.255277757683107,9.860450968957476,10.028412385332969,10.822605882440843,11.006417188553078,12.4534108796187,11.646333886610886
180,9.879725403152406,10.119922609338838,9.83745738818881,9.98457292875936,10.804170855290948,11.041847418152516,12.431553854126363,11.657339040069811
181,9.872262377382045,10.093106407551996,9.816094891228262,10.138992851059283,10.869547657127823,11.00703450520673,12.444276002145584,11.694830526868182
182,9.895478176223415,10.128796085595123,9.82723982944604,9.944908350946443,10.821431499695587,11.023458318724748,12.434266143358283,11.663217698374101
183,9.872707335518735,10.127552499574039,9.840938927335364,10.028302444205169,10.848032055242408,11.01339141267442,12.488650886582272,11.632938553849536
184,9.878749380849541,10.134113907453514,9.826158729171562,10.033247571799063,10.838321012054239,11.008645693260815,12.420003828141958,11.68179555585788
185,9.859548453542015,10.143823170613858,9.859457259036361,9.96828056691635,10.800978822273112,10.992535930727758,12.441599842972092,11.655586215877724
186,9.859266078790588,10.1430747327545,9.847891892516804,10.211369458345635,10.826196281179305,11.04857514221822,12.478883243015698,11.651510808376534
187,9.889490665837883,10.198738230692765,9.834699385288742,10.473785951973932,10.83035446748498,11.047488949712246,12.431795085449853,11.696236989190501
188,9.854626218457856,10.098285687666747,9.840706562352997,10.039707961221856,10.799624393844315,10.972382650981027,12.44363406552903,11.62489982802541
189,9.866440071604185,10.103245566208516,9.816950622705681,10.138269018141491,10.813023065096669,11.047318848150393,12.40399638716612,11.646042803242322
190,9.861266109040908,10.100780295268182,9.8084619065987,10.036787438777186,10.785499302249763,10.98314920560487,12.441881091123628,11.632075548292168
191,9.86283803133354,10.115332646115172,9.819543875393368,10.197947222378946,10.810050985685761,11.056287649778588,12.418978877605932,11.595759961393572
192,9.875683128953941,10.15268565125523,9.825640771117422,10.091545390746287,10.804226344090797,11.015831597990568,12.451749704327554,11.624784238876837
193,9.852459597882003,10.134033888818758,9.829971691473357,10.436894206870948,10.808388702571392,10.9954216787892,12.425840554398395,11.616521034269564
194,9.850191027526893,10.171522085945453,9.81968489190143,10.140055550202247,10.768337254112044,10.990506293432366,12.455993591086758,11.65768185690526
195,9.857104817074873,10.096366817672406,9.806462169264353,10.012987189956249,10.79172427360449,10.927785112853012,12.422642832051121,11.659626533547717
196,9.86097392911512,10.259755661771182,9.815715377279107,10.133699498950474,10.774191882040713,10.963142654227635,12.439356606093146,11.605994054867375
197,9.870351479959584,10.14806776337566,9.795276718514582,9.956642204234678,10.79518507955776,10.957711766804419,12.457356390152727,11.620433129850895
198,9.872224061719834,10.124939779240277,9.793469376276217,10.027903402524611,10.744557659622402,11.05338842758248,12.438477580285362,11.59104107007865
199,9.837000213953997,10.117544462123224,9.797016767063928,10.104460191101797,10.826440505503166,10.979033075273037,12.427669645647608,11.641334201539717
200,9.862599710393097,10.090950591069076,9.790871972067944,10.102836084702322,10.787225944260436,11.015109447461942,12.400704120556194,11.637006420642138
201,9.868850860173904,10.096298500655157,9.808551189639875,9.925257820155352,10.746869311157253,10.976365722355343,12.409456637537769,11.61768224330679
202,9.845193516793511,10.10902607513051,9.77536093353504,10.16807168601982,10.761663366499688,11.00118722646467,12.405854308106486,11.608115577649686
203,9.85960472720645,10.40669889639943,9.797492466356244,9.94860160074407,10.78158351893146,11.025492086886398,12.419270467944443,11.643503447093309
